id,osm_id,name,chain,latitude,longitude,address
63,way/249003131,Arhelan,arhelan,53.6955867,22.4377078,"1 Maja 29A, Prostki"
64,way/249466806,Arhelan,arhelan,52.948725,22.9561681,"Bielska 2, Suraż"
65,way/253345923,Arhelan,arhelan,53.9196063,22.1758984,"Ełcka 4, Stare Juchy"
66,way/263420415,Arhelan,arhelan,53.017161,23.3303152,"Świętego Rocha 6/1, Zabłudów"
67,way/272154250,Arhelan,arhelan,52.7584223,23.2129204,"Białowieska 10, Bielsk Podlaski"
68,way/274292450,Arhelan,arhelan,52.7099097,23.3252746,"Sienkiewicza 1A, Orla"
69,way/274298846,Arhelan,arhelan,52.9979062,22.7118378,Brak adresu
70,way/275834145,Arhelan,arhelan,52.5652922,22.9129825,"56, Dziadkowice"
71,way/278666127,Arhelan,arhelan,52.1775685,22.0778838,"Kolejowa 35, Kotuń"
72,way/290574603,Arhelan,arhelan,53.1587284,22.0817659,"Kazańska 12A, Łomża"
73,way/290968607,Arhelan,arhelan,52.205498,23.0834476,"Marszałka Józefa Piłsudskiego 1, Konstantynów"
74,way/292796901,Arhelan,arhelan,53.4103597,21.9281773,"Wojska Polskiego 51, Kolno"
75,way/294869780,Arhelan,arhelan,52.857054,22.710026,"Główna 23, Nowe Piekuty"
76,way/301637690,Arhelan,arhelan,53.4914109,22.7297776,"Rybacka 1, Goniądz"
77,way/301654129,Arhelan,arhelan,52.7695454,23.1965558,"Jagiellońska 11, Bielsk Podlaski"
78,way/301917310,Arhelan,arhelan,52.7749189,23.1850713,"Aleja Józefa Piłsudskiego 43, Bielsk Podlaski"
79,way/301920682,Arhelan,arhelan,52.7621425,23.1727521,"Brańska 90, Bielsk Podlaski"
80,way/301982483,Arhelan,arhelan,52.7541492,23.1850473,"Obozowa 17, Bielsk Podlaski"
81,way/301989228,Arhelan,arhelan,52.7627226,23.1851296,"Wojska Polskiego 3, Bielsk Podlaski"
82,way/304400122,Arhelan,arhelan,53.0935116,23.6538131,"Polna 10, Gródek"
83,way/304494016,Arhelan,arhelan,52.7796632,23.2000467,"Adama Mickiewicza 178A, Bielsk Podlaski"
84,way/305124427,Arhelan,arhelan,52.7732524,23.1985595,"Ogrodowa 11B, Bielsk Podlaski"
85,way/306578521,Arhelan,arhelan,51.4942018,22.8539883,"Czerwonego Krzyża 10, Ostrów Lubelski"
86,way/319028812,Arhelan,arhelan,53.5779431,23.1135393,"3 Maja 38, Suchowola"
87,way/367417040,Arhelan,arhelan,53.1987775,22.0986813,"Stawiskowska 51, Piątnica Poduchowna"
88,way/390625828,Arhelan,arhelan,52.4665942,23.0803004,"Żerczycka 36, Nurzec-Stacja"
